claim_id,customer_id,claim_date,amount,status,details,snapshot_date
CLM1000,CUST2463,2025-06-03,1083.45,Pending,"{""damage_type"": ""Collision"", ""description"": ""Lead police center spring concern."", ""location"": {""lat"": 49.696135, ""lon"": 16.36205}}",2024-03-01
CLM1001,CUST3551,2025-06-03,4643.08,Pending,"{""damage_type"": ""Fire"", ""description"": ""North what quality too today together field."", ""location"": {""lat"": 50.908865, ""lon"": 12.576209}}",2024-03-01
CLM1002,CUST4697,2025-06-03,4313.33,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Expert set in dream before my."", ""location"": {""lat"": 49.377318, ""lon"": 17.33218}}",2024-03-01
CLM1003,CUST4500,2025-06-03,9588.94,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Within both data lot car return ability."", ""location"": {""lat"": 49.650605, ""lon"": 12.313499}}",2024-03-01
CLM1004,CUST890,2025-06-03,6482.45,Pending,"{""damage_type"": ""Fire"", ""description"": ""Most nature seven voice receive responsibility trial staff."", ""location"": {""lat"": 48.981889, ""lon"": 14.781664}}",2024-03-01
CLM1005,CUST4963,2025-06-03,5430.52,Approved,"{""damage_type"": ""Fire"", ""description"": ""Often situation president chair beyond."", ""location"": {""lat"": 50.570542, ""lon"": 17.399311}}",2024-03-01
CLM1006,CUST1592,2025-06-03,5289.64,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Each community stuff old program."", ""location"": {""lat"": 49.014539, ""lon"": 18.258567}}",2024-03-01
CLM1007,CUST2479,2025-06-03,1268.87,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Statement material mouth."", ""location"": {""lat"": 50.194977, ""lon"": 14.117231}}",2024-03-01
CLM1008,CUST382,2025-06-03,7282.41,Approved,"{""damage_type"": ""Theft"", ""description"": ""It despite language where heart."", ""location"": {""lat"": 48.970855, ""lon"": 13.414301}}",2024-03-01
CLM1009,CUST3483,2025-06-03,6138.81,Approved,"{""damage_type"": ""Flood"", ""description"": ""Draw learn modern age customer right."", ""location"": {""lat"": 50.772656, ""lon"": 13.895336}}",2024-03-01
CLM1010,CUST551,2025-06-03,3966.05,Pending,"{""damage_type"": ""Theft"", ""description"": ""Guess experience table little education participant little low."", ""location"": {""lat"": 50.091764, ""lon"": 15.534151}}",2024-03-01
CLM1011,CUST4355,2025-06-03,2715.01,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Discover team service interesting."", ""location"": {""lat"": 48.736809, ""lon"": 17.669563}}",2024-03-01
CLM1012,CUST1006,2025-06-03,7596.09,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Wrong act building program them much."", ""location"": {""lat"": 50.071801, ""lon"": 15.91819}}",2024-03-01
CLM1013,CUST1210,2025-06-03,5602.24,Approved,"{""damage_type"": ""Fire"", ""description"": ""Training bad reach check send."", ""location"": {""lat"": 50.141931, ""lon"": 13.722652}}",2024-03-01
CLM1014,CUST2312,2025-06-03,5246.98,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Business minute indeed go southern could."", ""location"": {""lat"": 49.544132, ""lon"": 16.935242}}",2024-03-01
CLM1015,CUST4295,2025-06-03,1697.79,Pending,"{""damage_type"": ""Fire"", ""description"": ""Five hold which improve single condition wait."", ""location"": {""lat"": 49.678664, ""lon"": 16.325242}}",2024-03-01
CLM1016,CUST2311,2025-06-03,1359.54,Rejected,"{""damage_type"": ""Flood"", ""description"": ""North quickly civil building successful respond research."", ""location"": {""lat"": 50.97043, ""lon"": 13.396343}}",2024-03-01
CLM1017,CUST2997,2025-06-03,4052.82,Pending,"{""damage_type"": ""Flood"", ""description"": ""From magazine itself cost range during."", ""location"": {""lat"": 49.106055, ""lon"": 18.943467}}",2024-03-01
CLM1018,CUST3974,2025-06-03,2852.93,Pending,"{""damage_type"": ""Theft"", ""description"": ""Air policy by friend participant information until."", ""location"": {""lat"": 50.753466, ""lon"": 13.39769}}",2024-03-01
CLM1019,CUST678,2025-06-03,3487.6,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Speak special door most may member know."", ""location"": {""lat"": 49.345659, ""lon"": 12.624585}}",2024-03-01
CLM1020,CUST852,2025-06-03,5654.85,Pending,"{""damage_type"": ""Theft"", ""description"": ""Investment recognize middle school could."", ""location"": {""lat"": 49.90402, ""lon"": 16.685681}}",2024-03-01
CLM1021,CUST2363,2025-06-03,8398.46,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Season that place probably continue camera."", ""location"": {""lat"": 48.994869, ""lon"": 12.25104}}",2024-03-01
CLM1022,CUST3967,2025-06-03,8106.59,Pending,"{""damage_type"": ""Theft"", ""description"": ""Yourself past partner whether address scene fire."", ""location"": {""lat"": 50.82671, ""lon"": 18.124968}}",2024-03-01
CLM1023,CUST1099,2025-06-03,6937.58,Pending,"{""damage_type"": ""Flood"", ""description"": ""Recently such skill common treatment."", ""location"": {""lat"": 48.623108, ""lon"": 17.58679}}",2024-03-01
CLM1024,CUST672,2025-06-03,2113.09,Approved,"{""damage_type"": ""Theft"", ""description"": ""Heart sing yes hit song form subject."", ""location"": {""lat"": 50.996328, ""lon"": 18.261926}}",2024-03-01
CLM1025,CUST4948,2025-06-03,6789.28,Approved,"{""damage_type"": ""Collision"", ""description"": ""Responsibility name road six police scene front."", ""location"": {""lat"": 49.310668, ""lon"": 18.52427}}",2024-03-01
CLM1026,CUST1600,2025-06-03,3501.53,Pending,"{""damage_type"": ""Collision"", ""description"": ""Able woman soldier skin chance walk south."", ""location"": {""lat"": 49.006928, ""lon"": 17.680589}}",2024-03-01
CLM1027,CUST3984,2025-06-03,4071.81,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Central bank cultural Congress get enjoy character east."", ""location"": {""lat"": 48.890996, ""lon"": 18.753813}}",2024-03-01
CLM1028,CUST3915,2025-06-03,2122.73,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Every skill including however finish perhaps."", ""location"": {""lat"": 50.278875, ""lon"": 12.172897}}",2024-03-01
CLM1029,CUST1993,2025-06-03,4885.73,Pending,"{""damage_type"": ""Theft"", ""description"": ""Off necessary sure time truth."", ""location"": {""lat"": 48.695728, ""lon"": 12.906349}}",2024-03-01
