policy_id,customer_id,agent_id,product_id,start_date,end_date,premium,status,snapshot_date
POL1000,CUST3721,AG1242,PRD1026,2023-07-27,2025-12-22,2347.85,Cancelled,2024-03-01
POL1001,CUST4564,AG1244,PRD1046,2024-01-03,2026-04-27,885.17,Expired,2024-03-01
POL1002,CUST1449,AG1125,PRD1037,2024-01-08,2025-08-11,4266.07,Cancelled,2024-03-01
POL1003,CUST4986,AG1373,PRD1001,2023-12-13,2025-07-17,2978.36,Expired,2024-03-01
POL1004,CUST4467,AG1082,PRD1049,2024-03-28,2026-02-28,2572.55,Expired,2024-03-01
POL1005,CUST1033,AG1035,PRD1038,2024-03-07,2025-11-29,1370.79,Expired,2024-03-01
POL1006,CUST2679,AG1025,PRD1036,2023-12-05,2025-12-01,1597.72,Cancelled,2024-03-01
POL1007,CUST2976,AG1145,PRD1003,2023-09-18,2025-11-08,1625.62,Active,2024-03-01
POL1008,CUST359,AG1244,PRD1047,2024-05-04,2025-12-01,3541.24,Expired,2024-03-01
POL1009,CUST4944,AG1392,PRD1015,2023-07-26,2026-03-20,2110.32,Active,2024-03-01
POL1010,CUST775,AG1354,PRD1027,2023-08-23,2026-01-27,3652.6,,2024-03-01
POL1011,CUST994,AG1200,PRD1038,2023-11-16,2025-08-17,1114.08,Cancelled,2024-03-01
POL1012,CUST4649,AG1057,PRD1002,2023-12-24,2025-11-16,3322.95,Cancelled,2024-03-01
POL1013,CUST2426,AG1205,PRD1022,2024-04-24,2025-10-10,3332.88,,2024-03-01
POL1014,CUST185,AG1258,PRD1042,2024-02-02,2026-05-11,1641.73,Expired,2024-03-01
POL1015,CUST2168,AG1161,PRD1033,2024-02-09,2025-09-04,2627.28,Expired,2024-03-01
POL1016,CUST1059,AG1424,PRD1019,2024-01-28,2025-06-07,3738.28,,2024-03-01
POL1017,CUST243,AG1464,PRD1039,2024-03-05,2025-07-13,3899.52,Cancelled,2024-03-01
POL1018,CUST3505,AG1253,PRD1019,2023-07-17,2026-03-10,4123.28,Active,2024-03-01
POL1019,CUST4965,AG1272,PRD1035,2024-02-13,2025-08-04,2067.73,Active,2024-03-01
POL1020,CUST3520,AG1190,PRD1010,2024-03-06,2026-01-24,3023.71,Expired,2024-03-01
POL1021,CUST4270,AG1047,PRD1014,2023-09-21,2025-07-05,3783.43,Cancelled,2024-03-01
POL1022,CUST1278,AG1098,PRD1029,2024-03-11,2026-03-12,2743.06,,2024-03-01
POL1023,CUST1546,AG1389,PRD1004,2023-12-12,2026-01-23,4831.02,Active,2024-03-01
POL1024,CUST159,AG1137,PRD1007,2023-06-29,2025-12-15,2761.34,Active,2024-03-01
POL1025,CUST3135,AG1193,PRD1033,2023-08-29,2025-11-20,3010.29,Expired,2024-03-01
POL1026,CUST20,AG1388,PRD1008,2023-09-06,2025-10-14,3155.91,Cancelled,2024-03-01
POL1027,CUST3145,AG1210,PRD1041,2024-04-13,2026-05-12,1736.2,Active,2024-03-01
POL1028,CUST2766,AG1182,PRD1039,2024-03-28,2025-11-11,1290.02,Cancelled,2024-03-01
POL1029,CUST600,AG1074,PRD1021,2023-08-13,2026-01-11,3308.13,Expired,2024-03-01
POL1030,CUST4815,AG1245,PRD1034,2023-12-24,2025-12-27,1276.59,Cancelled,2024-03-01
POL1031,CUST1045,AG1488,PRD1037,2023-12-23,2026-04-28,4796.96,Expired,2024-03-01
POL1032,CUST3535,AG1474,PRD1008,2023-12-30,2025-07-29,1881.73,Cancelled,2024-03-01
POL1033,CUST3921,AG1330,PRD1001,2023-09-22,2025-12-02,931.92,Active,2024-03-01
POL1034,CUST1819,AG1229,PRD1022,2023-11-18,2025-07-04,683.27,Expired,2024-03-01
POL1035,CUST3331,AG1174,PRD1033,2023-10-18,2026-01-14,3678.23,Cancelled,2024-03-01
POL1036,CUST1607,AG1455,PRD1045,2024-04-04,2025-08-10,3453.12,Cancelled,2024-03-01
POL1037,CUST381,AG1026,PRD1025,2024-01-28,2025-08-21,650.65,Expired,2024-03-01
POL1038,CUST213,AG1144,PRD1027,2024-02-14,2025-08-14,847.34,Cancelled,2024-03-01
POL1039,CUST4202,AG1306,PRD1002,2023-11-05,2025-06-13,4648.11,Active,2024-03-01
POL1040,CUST893,AG1429,PRD1042,2024-04-20,2026-05-23,4340.0,Active,2024-03-01
POL1041,CUST3946,AG1305,PRD1029,2023-06-18,2025-07-22,835.8,Cancelled,2024-03-01
POL1042,CUST518,AG1193,PRD1033,2024-05-24,2025-12-09,805.29,Active,2024-03-01
POL1043,CUST4114,AG1440,PRD1045,2023-06-15,2026-02-12,4476.34,Active,2024-03-01
POL1044,CUST101,AG1047,PRD1018,2023-06-26,2026-02-23,2556.95,Active,2024-03-01
POL1045,CUST911,AG1478,PRD1047,2023-08-08,2026-06-03,3257.53,Expired,2024-03-01
POL1046,CUST2529,AG1353,PRD1047,2024-04-19,2025-08-04,4660.38,Expired,2024-03-01
POL1047,CUST2530,AG1022,PRD1027,2024-02-08,2025-09-06,2542.93,Active,2024-03-01
POL1048,CUST888,AG1006,PRD1025,2023-08-07,2026-02-22,3586.93,Expired,2024-03-01
POL1049,CUST208,AG1013,PRD1042,2024-05-23,2026-04-13,4518.45,Cancelled,2024-03-01
POL1050,CUST4085,AG1153,PRD1016,2024-04-09,2026-05-03,4254.82,Expired,2024-03-01
POL1051,CUST1555,AG1422,PRD1041,2023-09-16,2025-10-22,2220.91,Expired,2024-03-01
POL1052,CUST3000,AG1171,PRD1029,2023-10-18,2026-01-07,1921.39,Active,2024-03-01
